Student_ID,Name,Age,Grade_English,Grade_Math,Grade_Science,Grade_History,Study_Hours,Attendance
S001,Alice,20,83,75,93,60,6,89
S002,Bob,22,57,63,57,90,2,92
S003,Charlie,23,54,67,63,73,7,90
S004,Diana,24,75,54,69,58,1,65
S005,Eve,24,91,96,84,85,3,83
S006,Frank,20,62,55,60,60,3,88
S007,Grace,21,78,56,48,69,1,64
S008,Henry,23,51,88,61,71,8,97
S009,Ivy,23,52,42,50,70,7,81
S010,Jack,24,72,62,65,62,4,67
S011,Kelly,20,63,96,76,57,9,87
S012,Leo,20,89,43,65,78,9,97
S013,Mia,22,59,48,78,64,7,67
S014,Noah,19,67,62,84,70,1,94
S015,Olivia,21,75,94,76,91,3,69
S016,Peter,21,52,62,93,71,4,93
S017,Quinn,22,75,87,94,77,2,67
S018,Rose,24,84,84,95,57,8,86
S019,Sam,20,88,98,60,78,6,86
S020,Tina,18,72,94,58,89,8,87
