Student_ID,Name,Age,Grade_English,Grade_Math,Grade_Science,Grade_History,Study_Hours,Attendance
S001,Alice,23,65,86,76,92,5,64
S002,Bob,23,90,56,79,70,7,89
S003,Charlie,21,97,60,89,60,9,90
S004,Diana,23,92,68,62,72,9,64
S005,Eve,19,63,85,96,73,7,99
S006,Frank,24,98,61,80,61,8,76
S007,Grace,21,79,48,84,89,8,66
S008,Henry,22,58,46,91,61,7,76
S009,Ivy,18,65,97,57,88,5,98
S010,Jack,21,73,52,51,94,5,80
S011,Kelly,22,91,55,51,75,8,65
S012,Leo,20,84,64,67,57,4,89
S013,Mia,20,50,46,74,61,7,79
S014,Noah,24,79,80,77,89,3,69
S015,Olivia,22,79,46,68,56,8,96
S016,Peter,19,79,48,54,72,4,83
S017,Quinn,21,58,59,58,78,5,95
S018,Rose,19,57,94,76,72,3,75
S019,Sam,23,65,62,63,88,3,97
S020,Tina,18,68,82,86,67,6,67
